Question,Answer
How many years of work experience do you have with WebSphere?,1
How many years of work experience do you have with Datadog?,1
How many years of work experience do you have with Quality Analysis?,6
How many years of work experience do you have with JMeter?,6
How many years of work experience do you have with Mobile Testing?,3
How many years of work experience do you have with React Native?,1
How many years of work experience do you have with Spring Framework?,3
How many years of work experience do you have with DevOps?,3
How many years of PRDM experience do you currently have?,3
How many years of work experience do you have with Visual Basic?,7
¿Cuántos años de experiencia tienes con Integración continua y entrega continua (CI/CD)?,3
How many years of work experience do you have with Spring Batch?,1
How many years of work experience do you have with PRINCE2?,0
¿Cuántos años de experiencia tienes con Fábricas de Software?,4
Description,
How many years of work experience do you have with Elasticsearch?,1
How many years of work experience do you have with Test Engineering?,5
How many years of work experience do you have with Microsoft Excel?,10
How many years of work experience do you have with Project Tracking?,5
How many years of work experience do you have with API Testing?,4
How many years of urn:li:industry:6 experience do you currently have?,8
How many years of work experience do you have with Salesforce Sales Cloud?,0
How many years of work experience do you have with Tableau?,1
¿Cuántos años de experiencia tienes con Automatización de pruebas?,6
How many years of work experience do you have with Test Automation?,6
Are you legally authorized to work in ES?,Yes
How many years of work experience do you have with Banking?,5
How many years of work experience do you have with Software Development?,6
What is your level of proficiency in spa?,Native or bilingual
How many years of work experience do you have with LoadRunner?,6
First name,
How many years of work experience do you have with Site Reliability Engineering?,2
¿Hablas Francés?,No
Do you speak English?,No
School,
How many years of work experience do you have with Microsoft Azure?,5
How many years of work experience do you have with Service-Oriented Architecture (SOA)?,4
¿Cuántos años de experiencia tienes como urn:li:industry:84?,10
City,
¿Cuántos años de experiencia tienes con Microsoft Azure?,4
¿Cuál es tu nivel de spa?,Native or bilingual
¿Cuántos años de experiencia tienes con jQuery?,2
How many years of work experience do you have with .NET Core?,6
Company,
How many years of work experience do you have with AS400 Administration?,1
How many years of work experience do you have with Agile Testing?,3
Country,
How many years of work experience do you have with Confluence?,3
¿Cuántos años de experiencia tienes con Cypress?,2
How many years of work experience do you have with Computer Science?,5
Degree,
¿Tienes permiso de trabajo para CO?,Yes
How many years of work experience do you have with Azure Automation?,2
How many years of work experience do you have with Hibernate?,4
¿Tienes permiso de trabajo para ES?,Yes
How many years of work experience do you have with Visual Basic .NET (VB.NET)?,5
How many years of work experience do you have with Azure DevOps Server?,3
Your title,
How many years of work experience do you have with Cypress?,1
How many years of work experience do you have with Application Development?,10
Street address line 1,
How many years of work experience do you have with Amazon Relational Database Service (RDS)?,4
How many years of work experience do you have with .NET APIs?,8
How many years of work experience do you have with Finance?,3
How many years of work experience do you have with Software Testing?,6
How many years of work experience do you have with Programming?,12
Are you legally authorized to work in CO?,Yes
How many years of work experience do you have with C++?,1
How many years of work experience do you have with Core Java?,8
How many years of BD experience do you currently have?,15
How many years of work experience do you have with Continuous Integration and Continuous Delivery (CI/CD)?,1
