Question,Answer
Dates attended,2023-10-01 - 2024-11-01
Degree,Computer Engineer
Company,"GMSTEK, LLC"
Dates of employment,2017-09-01 - 2020-02-01
Dates of employment,2021-03-01 - 2021-08-01
Dates of employment,2023-06-01 - 2025-08-01
Are you legally authorized to work in the United States?,No
Company,EMCALI EICE ESP
Please submit a resume or LinkedIn profile, -770760179.pdf
Your title,Senior Software Developer
Description,"Detailed planning/estimation of services committed to the project. Design, execution, and feedback of functional and non-functional tests and code inspections in each project. Use test design techniques to maximize test coverage and minimize effort required. Develop required robots for test execution. Configure necessary tools for service provision. Identify hardware and resources necessary for service execution. Manual or automated execution of software tests. Report project non-conformities in defined tools. Ensure compliance with planning, design, and execution procedures of each service's tests included as part of the project. Provide objective feedback to the project team on the status of assigned activities. Propose and use tools to optimize the effort required for assigned test activities. Contribute improvements to software testing methodologies. Store project information in organization-defined repositories - place designed work projects under appropriate configuration control levels. Use existing generic artifacts in the repository for specific cases in decision making. Establish project threats and perform continuity plans for each. Place designed work products under appropriate configuration management levels. Identify the project configuration manager. Know all relevant means of accessing documents during the project's life. Ensure resources are available to carry out the configuration management process in the project. Provide feedback on the configuration management process based on project experiences."
Dates attended,2014-01-01 - 2017-12-01
School,Uniremington
Dates of employment,2020-02-01 - 2021-02-01
Description,"Lead the design, development, and implementation of robust software solutions using Java and associated frameworks, with a focus on Spring Boot. Collaborate with the architecture team to design scalable and efficient technical solutions that meet client requirements and industry best practices. Contribute to the full software development lifecycle, from conception to delivery and maintenance of high-quality applications. Participate in code reviews and provide technical guidance to junior developers to foster professional growth within the team. Perform unit and integration testing to ensure the quality and stability of developed code. Utilize AWS services such as EC2 and RDS to deploy highly available and scalable cloud solutions. Work closely with DevOps teams to facilitate continuous deployment and automated delivery. Research and evaluate new technologies and tools to enhance team development and efficiency."
Your title,Software Test Engineer
Company,COLSOF S.A.S
Major / Field of study,Computer Engineering
Degree,Systems engineering
Description,"Identify and correct configurations in parameters of the Sai Open accounting tool. Update the application according to customer requirements to ensure optimal performance and user satisfaction. Maintain and manage the corresponding database, ensuring system integrity and performance. Migrate information to a new distribution of the application, ensuring a smooth and seamless transition. Install and configure new applications according to customer needs, ensuring proper operation and compatibility with the existing environment. Generate reports as per received requests, providing accurate and relevant data for decision-making. Debug the database for new implementations, identifying and addressing potential issues to ensure system stability. Validate and correct errors in the application, providing technical support and assistance to users to resolve any issues or queries. Install and parameterize new functionalities in the application, continuously improving its capability and adaptability to meet evolving business needs."
Your title,Senior Support Engineer
Company,GreenSQA S.A
Description,"Create detailed test plans and testing strategies. Execute software tests, including automation where possible. Evaluate product performance and analyze results. Identify and document issues using bug tracking systems. Maintain updated databases of known defects to enhance the testing process. Review product specifications to anticipate and address potential errors. Offer recommendations for product design to avoid future issues. Continuously optimize testing strategies, with a focus on automation. Ensure software quality and functionality to meet customer needs."
Company,System Factory SAS
Dates of employment,2016-06-01 - 2017-09-01
Your title,QA Automation Enginner
State / Province,DC
Country,Colombia
Dates of employment,2021-08-01 - 2022-06-01
State / Province,VAC
Dates of employment,2021-11-01 - 2022-02-01
Your title,Development & QA Tester
Description,"Develop test plans and testing strategies. Automate software testing procedures. Simulate product performance and evaluate outcomes. Identify and report issues using bug tracking systems. Analyze databases of known defects to enhance product quality. Review product specifications to anticipate potential errors. Provide input on product design to minimize future issues. Continuously improve testing strategies, with a focus on automation. Ensure software quality and functionality for the target audience."
City,"Cali, Valle del Cauca, Colombia"
Description,"Spearhead the design, development, and implementation of robust software solutions, ensuring they meet project requirements and industry standards. Harness the power of ASP.NET Core, PHP, and other pertinent technologies to construct cutting-edge web applications that address client needs effectively. Champion the creation of clean, efficient codebases that promote maintainability and scalability. Foster collaboration across cross-functional teams to ensure seamless integration and delivery of high-quality solutions within specified timelines. Provide expert technical guidance and support to team members, fostering a culture of continuous learning and professional growth. Oversee database management tasks, ensuring data integrity and optimal performance across systems. Remain abreast of industry trends and emerging technologies, incorporating best practices into software development processes to drive innovation and competitiveness. Lead efforts to optimize processes and workflows, striving for excellence in all aspects of technology solution delivery."
Company,ECOPROYECT CONSULTORIA SAS
Your title,Ingeniero Especialista
State / Province,CMX
Your title,Technology Solutions Analyst
Dates of employment,2016-06-01 - 2016-09-01
City,"Ciudad de México, México"
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
Company,Busscar de Colombia
Degree,Specialization in Project Management
Your title,Junior Integrated Service Professional
Company,Stori
Last name,Maloof
Your title,Technology Solutions Leader
School,Asturias Corporación Universitaria
City,"Bogotá, Distrito Capital, Colombia"
Your title,Senior J2EE Developer
Dates of employment,2015-09-01 - 2016-06-01
Dates attended,2020-02-01 - 2023-03-01
Mobile phone number, +57 3002357202
First name,Farid
Major / Field of study,Project Management
ZIP / Postal Code,760004
Major / Field of study,Engineering
Description,Manage projects following PMI standards. Apply agile methodologies in project development. Efficiently manage assigned human resources. Plan and lead projects effectively. Generate management indicators to assess project progress. Develop technological innovation plans and implementation projects. Organize administrative and financial processes related to projects. Implement new technological strategies to enhance efficiency. Develop and execute negotiation strategies for project realization. Manage technological infrastructure effectively.
Company,GRUPO SAI S.A.S
Description,"Design, develop, and maintain internal applications for the telecommunications sector. Classify and document reported incidents in information systems. Provide temporary support for reported issues until permanent solutions are implemented. Develop and enhance functionalities within existing applications to optimize performance and usability. Collaborate in requirements analysis and the generation of innovative technological solutions to address specific business needs. Participate in the evaluation and selection of technologies, tools, and frameworks to enhance the efficiency and quality of developed solutions. Conduct comprehensive testing of developed applications to ensure stability, performance, and security. Provide training and technical guidance to other team members to foster professional growth and knowledge sharing. Stay updated on trends and advancements in information technology and telecommunications to propose continuous improvements and innovative solutions."
School,Universidad Autónoma de Occidente
Cover letter,"I am pleased to apply for the position of Network Software Test Engineer at ioet inc. I am a software test engineer with experience in designing and executing both manual and automated tests, and I am confident that my experience and skills can make a great contribution to your team.  Throughout my professional career, I have worked with languages such as C# and Java, as well as automation testing tools such as Selenium, Cypress, .NET Core, Postman, and JMetter, among others. I also have skills in designing and executing network tests, validating communication systems, and developing effective test plans.  I am a highly motivated, detail-oriented individual with a strong commitment to quality. I am excited about the opportunity to apply my skills and knowledge to your team and collaborate in the development of high-quality network solutions. Additionally, I am a team player with effective communication skills, which allows me to work with other teams and development team members effectively.  I am available to start immediately, and I am confident that I can adapt quickly to your work environment. I appreciate the opportunity to submit my application and look forward to your response. If you need any further information, please do not hesitate to contact me."
Street address line 1,carrera 86a 86 80
Dates of employment,2022-07-01 - 2023-06-01
Description,"Design and develop Product Data Management (PDM) systems using web tools and Visual Studio (C#, VB.Net), integrating with various databases (MySQL, Oracle, SQL Server). Provide technical support for software solutions implemented within the SINERGIA project. Analyze, design, and develop applications to meet the requirements of different departments or areas. Ensure the ongoing maintenance and support of existing applications, including debugging and troubleshooting. Collaborate with cross-functional teams to gather requirements, define project scope, and ensure timely delivery of high-quality software solutions. Lead code reviews and provide mentorship to junior developers to foster a culture of continuous improvement and knowledge sharing. Stay updated with emerging technologies and industry best practices to enhance the efficiency and effectiveness of software development processes. Contribute to architectural discussions and decisions to ensure scalable and maintainable software solutions. Implement security measures and best practices to protect sensitive data and ensure compliance with industry standards and regulations."
State,Bogotá
Country,México
