Company Name,Title,Description,Location,Started On,Finished On
Evertec,Automation Testing Senior Specialist,"Responsible for designing, developing, and maintaining scalable test automation solutions across complex enterprise environments. Leading automation initiatives through the implementation of industry best practices, reusable automation frameworks, and CI/CD strategies. Designed and developed automated test suites using C#, Selenium WebDriver, and Playwright, focusing on maintainability, reliability, and execution efficiency. Actively participated in the design and development of a new automation framework built with C#, Playwright, and BDD (Behavior-Driven Development) practices using Gherkin-based specifications. Contributed to the framework architecture by implementing the Page Object Model (POM) pattern, separating page locators, actions, and business logic to improve maintainability and reduce code duplication. Additionally, introduced Screenplay Pattern principles to enhance test readability, scalability, and reusability across multiple test scenarios. Collaborated closely with Development, QA, and DevOps teams to integrate automated testing into CI/CD pipelines, improving test coverage, accelerating feedback cycles, and enabling continuous quality assurance.",Remoto,Dec 2025,
Stori,QA Automation Engineer,"Responsible for defining and executing testing strategies to ensure software quality, reliability, and performance across web applications. Led the design and development of scalable web automation frameworks using Playwright (Python) while also contributing to automation initiatives with Cypress, depending on the product team's technology stack, promoting reusable components and automation best practices to improve maintainability, execution efficiency, and test coverage. Actively contributed to the implementation of automated functional, regression, and end-to-end testing solutions using Playwright and Cypress, enabling faster validation cycles and reducing manual testing efforts. Additionally, designed and developed performance testing suites using K6 and TypeScript to evaluate system scalability, identify bottlenecks, and validate application behavior under different load conditions. Developed API automation solutions using Python to validate backend services and microservices. Collaborated with cross-functional teams to integrate automated quality controls into CI/CD pipelines using GitHub Actions and Jenkins, ensuring early defect detection and faster release cycles.",Mexico,Jun 2023,Aug 2025
"GMSTEK, LLC",QA Automation Engineer,"Responsible for defining testing strategies and automation standards to ensure software quality, reliability, and scalability across enterprise applications. Spearheaded the evaluation, design, implementation, and comparison of multiple automation frameworks by developing proof of concepts and automation solutions using C# with Selenium, Java with Selenium, Java with Selenium BDD, Cypress with TypeScript, and Playwright with TypeScript, helping define the organization's automation strategy. Developed and executed automated test scenarios using Cypress and TypeScript to validate Angular-based web applications, comparing framework capabilities, maintainability, execution performance, and integration with CI/CD pipelines. Collaborated closely with development and architecture teams to establish automation best practices, framework standards, and quality guidelines aligned with organizational goals. Executed functional, regression, and automated testing activities across enterprise web applications developed with Angular. Performed validation activities in Microsoft Azure environments, including API verification and SQL Server data validation. Contributed to continuous improvement initiatives by increasing automation coverage, optimizing testing processes, and improving software quality throughout the SDLC.","Palmetto Bay, Florida, Estados Unidos",Jul 2022,Jun 2023
COLSOF S.A.S,Ingeniero Especialista,"Managed and coordinated technology projects following PMI standards and Agile methodologies, ensuring structured planning, execution, and delivery of project objectives. Responsible for defining project scope, tracking progress through management indicators (KPIs), and supporting decision-making processes to ensure alignment with business goals. Participated in the evaluation and implementation of technological solutions, working with modern web and enterprise technologies such as React, Angular, Oracle, and SQL Server, primarily from a project governance and architectural assessment perspective. Acted as a QA and technology advisor within projects, supporting the definition of testing tools, automation strategies, and performance optimization approaches. Specifically, evaluated emerging automation frameworks, including Playwright and Cypress, providing strategic recommendations focused on efficiency, scalability, and long-term maintainability to guide the organization's automation roadmap.","Bogotá, Distrito Capital, Colombia",Aug 2021,Jun 2022
ECOPROYECT CONSULTORIA SAS,Senior J2EE Developer,"Led the design, development, and implementation of scalable software solutions using **Java** with **Spring Boot**, ensuring high performance, maintainability, and alignment with enterprise architecture standards.  Collaborated with architecture and cross-functional teams to design robust and scalable system architectures, integrating modern web and backend technologies including **React** for frontend development and Java-based microservices for backend services.  Contributed to the full software development lifecycle within **Agile (Scrum)** environments, from requirements analysis and design to development, testing, deployment, and maintenance of production systems.  Developed and maintained cloud-based applications deployed on **AWS**, leveraging services such as **EC2** and **RDS** to ensure high availability, scalability, and secure data management. Worked with relational databases including **MySQL** and **SQL Server**, focusing on performance optimization and data integrity.  Performed unit and integration testing to ensure software quality, stability, and compliance with functional requirements, while actively participating in code reviews and promoting best practices within the development team.  Collaborated closely with DevOps teams to support **CI/CD pipelines**, enabling automated deployments and improving delivery efficiency. Additionally, evaluated and adopted new technologies and tools to enhance development workflows, system performance, and overall engineering productivity. ","Cali, Valle del Cauca, Colombia",Nov 2021,Feb 2022
GreenSQA S.A,Junior Integrated Service Professional,"Responsible for planning, estimating, and executing Quality Assurance activities across software projects, ensuring alignment with business requirements, quality standards, and delivery timelines. Designed and implemented functional and non-functional testing strategies for web applications, APIs, and integrated systems, maximizing test coverage while optimizing execution efforts. Performed manual and automated testing to validate functional requirements, system integrations, and end-to-end business processes across multiple environments. Developed and maintained automated test scripts primarily using Java, with additional experience in C#, supporting scalable and maintainable test automation frameworks for service-oriented architectures. Worked with relational databases including PostgreSQL, MySQL, SQL Server, and Oracle, performing data validation, backend verification, and integration testing to ensure data consistency, reliability, and traceability across systems. Configured and supported testing tools, automation frameworks, and execution environments required for efficient service delivery. Managed defect reporting, prioritization, and resolution in collaboration with cross-functional teams, ensuring timely delivery of high-quality software products. Contributed to the continuous improvement of QA processes by identifying automation opportunities, enhancing testing methodologies, and increasing operational efficiency. Participated in configuration management activities, ensuring proper version control and standardization of testing artifacts across projects. Collaborated in risk identification and mitigation activities, supporting project continuity plans and contributing to the successful delivery of quality assurance services in dynamic and complex development environments.","Cali, Valle del Cauca, Colombia",Mar 2021,Aug 2021
GreenSQA S.A,Software Test Engineer,"Responsible for detailed planning and estimation of testing services within project scope, ensuring alignment with timelines, quality standards, and resource availability.  Designed, executed, and provided feedback on functional and non-functional testing activities, including code inspections across multiple projects. Applied structured test design techniques to maximize coverage while minimizing execution effort.  Developed and maintained automated test execution solutions (“test robots”), supporting both manual and automated testing strategies across different systems and environments.  Configured and managed tools required for service delivery, including test environments, execution frameworks, and supporting infrastructure. Identified necessary hardware and resources for test execution.  Executed end-to-end testing activities, ensuring compliance with defined planning, design, and execution procedures. Reported defects and non-conformities using tracking tools with proper documentation and follow-up.  Provided objective feedback to project teams on testing progress, risks, and quality status. Contributed to continuous improvement by proposing tools and methodologies to optimize testing effort and increase efficiency.  Participated in configuration management processes, ensuring version control, storage, and governance of test artifacts in organizational repositories. Promoted the use of reusable assets for standardization and decision-making.  Assisted in identifying project risks and defining continuity and mitigation plans to ensure stability of testing activities throughout the project lifecycle.  Ensured availability of required resources for configuration and service management processes, and supported access to project documentation and repositories. Provided feedback to improve configuration management practices based on project experience. ","Cali, Valle del Cauca, Colombia",Feb 2020,Feb 2021
Busscar de Colombia,Senior Software Developer,"Designed, developed, and maintained Product Data Management (PDM) systems and enterprise web applications using **C#**, **VB.Net**, **PHP**, and **JavaScript**, leveraging frameworks such as **Yii Framework** and Visual Studio-based environments.  Worked with multiple database technologies including **MySQL**, **Oracle**, and **SQL Server**, implementing data models, integrations, and backend logic to support scalable and reliable application architectures.  Participated in the analysis, design, and development of software solutions aligned with business requirements across different departments, ensuring proper scope definition and functional alignment.  Provided technical support for applications within the SINERGIA project, including debugging, troubleshooting, and maintenance of existing systems to ensure stability and continuous operation.  Collaborated with cross-functional teams to gather requirements, define project scope, and support architectural decisions focused on scalability, maintainability, and performance.  Contributed to code reviews and supported knowledge sharing initiatives, promoting best practices and continuous improvement within development teams.  Participated in architectural discussions, supporting the definition of system structure, integration approaches, and development standards for enterprise applications.  Stayed updated with emerging technologies and applied industry best practices to improve software development efficiency and solution quality.  Supported implementation of security practices to protect sensitive data and ensure compliance with internal standards and application requirements. ","Pereira, Risaralda, Colombia",Sep 2017,Feb 2020
EMCALI EICE ESP,Technology Solutions Analyst,"Design, develop, and maintain internal applications for the telecommunications sector. Classify and document reported incidents in information systems. Provide temporary support for reported issues until permanent solutions are implemented. Develop and enhance functionalities within existing applications to optimize performance and usability. Collaborate in requirements analysis and the generation of innovative technological solutions to address specific business needs. Participate in the evaluation and selection of technologies, tools, and frameworks to enhance the efficiency and quality of developed solutions. Conduct comprehensive testing of developed applications to ensure stability, performance, and security. Provide training and technical guidance to other team members to foster professional growth and knowledge sharing. Stay updated on trends and advancements in information technology and telecommunications to propose continuous improvements and innovative solutions.","Cali, Valle del Cauca, Colombia",Jun 2016,Sep 2017
System Factory SAS,Technology Solutions Leader,"Spearhead the design, development, and implementation of robust software solutions, ensuring they meet project requirements and industry standards. Harness the power of ASP.NET Core, PHP, and other pertinent technologies to construct cutting-edge web applications that address client needs effectively. Champion the creation of clean, efficient codebases that promote maintainability and scalability. Foster collaboration across cross-functional teams to ensure seamless integration and delivery of high-quality solutions within specified timelines. Provide expert technical guidance and support to team members, fostering a culture of continuous learning and professional growth. Oversee database management tasks, ensuring data integrity and optimal performance across systems. Remain abreast of industry trends and emerging technologies, incorporating best practices into software development processes to drive innovation and competitiveness. Lead efforts to optimize processes and workflows, striving for excellence in all aspects of technology solution delivery.","Cali, Valle del Cauca, Colombia",Jun 2016,Sep 2016
