Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Introducing Daily,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeVideo:60347605,Video (3rd Party Provider),2025-09-18 15:06 UTC,N/A,false,N/A,
Key terms,Learn valuable terms for software development and technical communication.,Article (3rd Party Provider),2026-03-06 19:47 UTC,2026-03-06 19:47 UTC,false,N/A,
Cómo liderar sin autoridad formal,"El liderazgo no es una habilidad únicamente propia de personas en puestos de mando. Demostrar liderazgo es importante para los empleados de todos los niveles de la organización. Todos los días tenemos la ocasión de dirigir, tengamos un cargo directivo o no. En este curso, las expertas en liderazgo y capacitación personal Lisa Earle McLeod y Elizabeth McLeod describen cómo los contribuidores o las pequeñas y medianas empresas pueden exhibir liderazgo influyendo en los demás, inspirándolos, asesorándolos y motivándolos. También te ayudan a superar dificultades comunes, por ejemplo cómo comunicarte cuando crees que tu jefe o tu equipo avanzan en el rumbo equivocado.",Course,2022-05-02 18:35 UTC,N/A,false,N/A,
Microservicios con un café,"¿Necesitas dar tus primeros pasos con los Microservicios? Mientras te tomas un café, estos vídeos te ayudarán a comprender las claves más importantes y a dar los primeros pasos a la hora de entender cómo desarrollar una aplicación software como una serie de pequeños servicios, cada uno ejecutándose de forma autónoma y comunicándose entre sí.

Estos vídeos corresponden a los cursos:

<li><a href=""https://www.linkedin.com/learning/azure-microservicios-esencial"" target=""_blank"">Azure: Microservicios esencial</a></li>
<li><a href=""https://www.linkedin.com/learning/docker-esencial"" target=""_blank""> Docker esencial</a></li>
<li><a href=""https://www.linkedin.com/learning/kubernetes-para-administradores-it-esencial"" target=""_blank"">Kubernetes para administradores IT esencial</a></li>",Course,2021-04-16 13:16 UTC,2021-04-15 04:50 UTC,false,N/A,
DevOps Foundations: Your First Project (2019),"Curious about how to put DevOps principles into practice? This course can help. Join Carlos Nunez as he demonstrates how to apply DevOps principles to a sample app for a fictitious travel booking company. Throughout the course, Carlos shows how to leverage popular tools and methodologies to make updating, testing, and releasing the app a breeze. After explaining how to containerize the website with Docker and Docker Compose, he shows how to write unit and integration tests with RSpec, Capybara, and Selenium. He then steps through how to deploy your website into the cloud with Terraform and write a Jenkinsfile that will build, test, and deploy your app. Upon wrapping up this course, you'll know how to turn a slow and complex application development process into a fast and enjoyable one.",Course,2021-04-28 03:19 UTC,N/A,false,N/A,
SCRUM con un café,"Aprende a lograr un mejor rendimiento en tus flujos de trabajo gracias a  la metodología Scrum. Consigue aprovechar al máximo tu tiempo y el de tus compañeros, creando un entorno de trabajo en equipo mucho más eficiente y productivo... ¡mientras te tomas un café!

Estos vídeos corresponden a los cursos:<br><br>

<li><a href=""https://www.linkedin.com/learning/agilidad-estrategica"" target=""_blank"">Agilidad estratégica</a></li>
<li><a href=""https://www.linkedin.com/learning/aprende-scrum"" target=""_blank"">Aprende Scrum</a></li>
<li><a href=""https://www.linkedin.com/learning/scrum-roles"" target=""_blank"">Scrum: Roles</a></li>
<li><a href=""https://www.linkedin.com/learning/scrum-anti-patrones"" target=""_blank"">Scrum: Antipatrones</a></li>",Course,2021-04-20 00:08 UTC,2021-04-16 15:00 UTC,false,N/A,
Desafío de programación: JavaScript básico,"Empezar a programar en JavaScript no es tarea fácil, pero como todo, mejora con la práctica. Este curso viene a ayudarte precisamente con eso, y te trae ejercicios que podrás realizar para pulir tu forma de programar, e incluso aplicarlos al construir aplicaciones web reales en el futuro, como son la manipulación de texto, los cálculos matemáticos, la filtración de datos con funciones de arreglos y la modificación de contenidos de páginas web. ¿Empezamos a mejorar tu código en JavaScript?",Course,2023-03-19 17:38 UTC,N/A,false,N/A,
Eleven Tips for the .NET Developer,"This course from Learn-it Labs offers a deep dive into advanced .NET development techniques aimed at improving your coding workflows and application performance. Join instructor Walt Ritscher as he shows you how to distribute your applications efficiently and effectively. Learn how to manage single file deployment, manipulate and flatten sequences with LINQ's SelectMany, extend the functionality of the DateOnly type, transform data into more readable formats, return read-only collections safely, construct path strings for Linux and Windows, create fake data for testing, and more. Additionally, you'll learn to implement a version endpoint for web APIs, count Unicode characters correctly, and determine shared key values with LINQ's ToLookup method. By the end of this course, you will have mastered practical techniques to enhance your .NET applications and data manipulation methods.",Course,2026-01-29 16:22 UTC,N/A,false,N/A,
Agile en acción: Impulsar reuniones ágiles y productivas (2019),"Muchos equipos ágiles quieren tener reuniones flexibles para hacer lo que crean conveniente. Sin embargo, en la realidad, los proyectos Agile fluyen sin contratiempos gracias a actividades breves y bien estructuradas. Todas las actividades se engloban en un ciclo, para que los equipos mantengan el curso y trabajen en un plazo establecido. 
En este curso, el experto en Agile Doug Rose describe cómo celebrar reuniones ágiles lo más productivas posibles. Doug nos guía a través de tareas típicas como la planificación del lanzamiento, las reuniones diarias, la planificación de los ciclos y las demostraciones de producto. A lo largo del curso, veremos cuáles son los obstáculos más comunes, para poder evitarlos y completar las actividades sin desviarnos del plan acordado.",Course,2021-01-21 17:52 UTC,N/A,false,N/A,
DevOps Foundations: Lean and Agile (2017),"By applying lean and agile principles, engineering teams can deliver better systems and better business outcomes—both of which are crucial to the success of DevOps. In this course, instructors Ernest Mueller and Karthik Gaekwad discuss the theories, techniques, and benefits of agile and lean. Learn how they can be applied to operations teams to create a more effective flow from development into operations and accelerate your path of ""concept to cash."" In addition to key concepts, you can hear in-the-trenches examples of implementing lean and agile in real-world software organizations.",Course,2021-04-19 13:04 UTC,2021-04-18 05:29 UTC,false,N/A,
