Question,Answer
How many years of work experience do you have with Freight?,6
Necesitamos cubrir esta vacante urgentemente. ¿Podrías incorporarte de inmediato?,Yes
How many years of work experience do you have with Agile Project Management?,3
¿Cuántos años de experiencia tienes con Ingeniería de calidad?,7
How many years of work experience do you have with Test Automation Tools?,5
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with Oracle Database?,4
How many years of work experience do you have with Ruby?,1
How many years of work experience do you have with Office 365?,4
How many years of work experience do you have with AngularJS?,1
How many years of work experience do you have with Gherkin?,3
How many years of work experience do you have with Atlassian Suite?,3
How many years of work experience do you have with Web Framework?,2
Description,
How many years of work experience do you have with Test Automation Frameworks?,5
How many years of work experience do you have with Scrum?,9
How many years of work experience do you have with Design Patterns?,6
How many years of work experience do you have with Self-Management?,5
How many years of work experience do you have with Selenium?,5
How many years of work experience do you have with Word Processing?,10
How many years of work experience do you have with Postman API?,8
How many years of work experience do you have with Terraform?,5
¿Has obtenido el siguiente título: Máster?,No
How many years of work experience do you have with Kubernetes?,1
State / Province,
How many years of work experience do you have with SCADA?,0
How many years of work experience do you have with Software Quality?,6
How many years of work experience do you have with Microsoft Business Intelligence (MSBI)?,1
How many years of work experience do you have with Sonarqube?,2
How many years of work experience do you have with Tricentis Tosca?,0
How many years of work experience do you have with REST APIs?,8
How many years of work experience do you have with Microsoft PowerPoint?,10
Ubicación (ciudad),
How many years of work experience do you have with Linux?,10
How many years of work experience do you have with Exploratory Testing?,5
How many years of work experience do you have with RESTful architecture?,6
State,
¿Cuántos años de experiencia tienes con Selenium?,8
How many years of work experience do you have with Salesforce.com Administration?,1
City,
How many years of work experience do you have with Spring Boot?,3
How many years of work experience do you have with Behavior-Driven Development (BDD)?,1
How many years of work experience do you have with Google Cloud Platform (GCP)?,1
How many years of work experience do you have with Node.js?,1
How many years of work experience do you have with MuleSoft Anypoint Platform?,0
How many years of work experience do you have with ASP.NET MVC?,6
How many years of urn:li:industry:8 experience do you currently have?,3
How many years of work experience do you have with Bootstrap (Framework)?,4
Company,
How many years of work experience do you have with Test and Learn Agile Methodology?,7
ZIP / Postal Code,
How many years of urn:li:industry:137 experience do you currently have?,0
How many years of work experience do you have with SQL Server Integration Services (SSIS)?,1
How many years of work experience do you have with Salary?,3500000
How many years of ENG experience do you currently have?,15
How many years of work experience do you have with QA Engineering?,5
How many years of work experience do you have with Software Development Methodologies?,8
How many years of work experience do you have with Artificial Intelligence (AI)?,2
How many years of work experience do you have with Ruby on Rails?,1
How many years of work experience do you have with Robotic Process Automation (RPA)?,1
¿Cuántos años de experiencia tienes con Node.js?,1
How many years of work experience do you have with Programming Languages?,12
¿Cuántos años de experiencia tienes con Scrum?,8
How many years of work experience do you have with Symphony?,1
How many years of work experience do you have with Atlassian Bamboo?,1
Are you legally authorized to work in GB?,No
How many years of urn:li:industry:42 experience do you currently have?,4
How many years of work experience do you have with Katalon Studio?,1
¿Cuántos años de experiencia tienes con Camunda BPM?,1
How many years of work experience do you have with Integration Architecture?,6
Your title,
¿Cuántos años de experiencia tienes con Ruby?,1
Location (city),
¿Cuántos años de experiencia tienes con Vue.js?,1
How many years of urn:li:industry:43 experience do you currently have?,5
How many years of work experience do you have with PL/SQL?,3
How many years of work experience do you have with Android?,3
How many years of work experience do you have with HTML?,10
How many years of work experience do you have with LookML?,0
How many years of work experience do you have with Test Management Approach (TMAP)?,3
