Question,Answer
Are you legally authorized to work in CA?,Yes
How many years of work experience do you have with Flutter?,1
How many years of work experience do you have with AWS Lambda?,1
How many years of work experience do you have with Selenium WebDriver?,3
How many years of work experience do you have with HP QuickTest Professional (QTP)?,1
How many years of work experience do you have with Strategic Roadmaps?,1
How many years of work experience do you have with IntelliJ IDEA?,3
How many years of work experience do you have with Java Development?,6
¿Cuántos años de experiencia tienes con Bases de datos?,12
Cover letter,
How many years of urn:li:industry:102 experience do you currently have?,8
How many years of work experience do you have with Java Application Development?,6
How many years of work experience do you have with Product Management?,7
How many years of work experience do you have with SQL?,13
How many years of work experience do you have with Databases?,8
How many years of work experience do you have with Java?,10
How many years of work experience do you have with Development Testing?,6
Description,
Major / Field of study,
How many years of work experience do you have with Loss Mitigation?,1
Are you comfortable working in a hybrid setting?,No
How many years of work experience do you have with CSTE?,6
How many years of work experience do you have with English?,2
How many years of work experience do you have with Spring MVC?,3
¿Puedes combinar el trabajo presencial y a distancia?,Yes
How many years of work experience do you have with WordPress?,0
¿Te parece bien que comprueben tus antecedentes de conformidad con la normativa legal?,Yes
How many years of work experience do you have with Jenkins?,1
How many years of CNSL experience do you currently have?,8
How many years of work experience do you have with HTML5?,4
"¿Necesitas que una empresa te tramite el permiso de trabajo ahora o en el futuro (por ejemplo, el visado H-1B)?",Yes
¿Cuántos años de experiencia tienes con Swift (lenguaje de programación)?,0
How many years of work experience do you have with R (Programming Language)?,0
How many years of work experience do you have with SaaS Development?,2
How many years of work experience do you have with SQL Server Reporting Services (SSRS)?,1
How many years of work experience do you have with Microsoft Power Apps?,3
First name,
How many years of work experience do you have with Interactive Voice Response (IVR)?,1
How many years of work experience do you have with Testers?,6
¿Cuántos años de experiencia tienes con Docker?,1
How many years of work experience do you have with Communication?,2
¿Cuántos años de experiencia tienes con Jenkins?,2
¿Cuántos años de experiencia tienes con Cypress.io?,2
How many years of work experience do you have with Chrome DevTools?,2
How many years of work experience do you have with SoapUI?,7
How many years of work experience do you have with RESTful WebServices?,5
How many years of work experience do you have with NoSQL?,1
¿Cuántos años de experiencia tienes con Java?,8
How many years of work experience do you have with Azure SQL?,3
City,
How many years of work experience do you have with Docker Products?,1
How many years of work experience do you have with GitHub Copilot?,2
How many years of work experience do you have with Quality Assurance Testing?,6
How many years of work experience do you have with QA Automation?,5
How many years of work experience do you have with Unified Modeling Language (UML)?,8
"Will you now, or in the future, require sponsorship for employment visa status (e.g. H-1B visa status)?",Yes
How many years of work experience do you have with Test Execution?,6
¿Cuántos años de experiencia tienes con Microsoft Office?,7
How many years of work experience do you have with Bubble.io?,0
Last name,
How many years of work experience do you have with React.js?,1
Country,
How many years of work experience do you have with C#?,10
How many years of work experience do you have with TestRail?,1
¿Cuántos años de experiencia tienes con Cucumber?,4
How many years of work experience do you have with Laravel?,6
¿Cuántos años de experiencia tienes con XML?,5
¿Cuántos años de experiencia tienes con SQL?,18
How many years of work experience do you have with Karate?,5
Degree,
How many years of work experience do you have with PyTorch?,1
How many years of work experience do you have with Azure Data Factory?,0
How many years of work experience do you have with Business Process Management?,2
¿Cuántos años de experiencia tienes con Scala?,0
How many years of work experience do you have with Framework Design?,2
How many years of work experience do you have with Salesforce.com?,1
How many years of work experience do you have with Cucumber?,3
¿Cuántos años de experiencia tienes con React.js?,3
How many years of work experience do you have with iOS?,3
How many years of work experience do you have with Quality Assurance?,6
Your title,
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Startups?,2
How many years of work experience do you have with TestNG?,1
How many years of work experience do you have with Business Intelligence (BI)?,3
